sr,dms_code,venue_name,city,state,blacklisted_by,remark
1,-,SAARTHY ACADEMY,SURAT,GUJARAT,DEXIT,Completely Blacklisted
2,WST-GJ-2041,SHREY INFOTECH,AHMEDABAD,GUJARAT,DEXIT,Completely Blacklisted
3,WST-GJ-2044,7CLOUD INFOTECH,BARODA,GUJARAT,DEXIT,Completely Blacklisted
4,WST-GJ-2045,K.J. INSTITUTE OF ENGINEERING AND TECHNOLOGY,BARODA,GUJARAT,DEXIT,Completely Blacklisted
5,WST-GJ-2049,VADODRA INSTITUTE OF ENGINEERING,BARODA,GUJARAT,DEXIT,Completely Blacklisted
6,WST-GJ-2059,SUCCESS INFOTECH,RAJKOT,GUJARAT,DEXIT,Completely Blacklisted
7,WST-GJ-2062,SUTEX BANK COLLEGE OF COMPUTER APPLICATION AND SCIENCE,SURAT,GUJARAT,DEXIT,Completely Blacklisted
8,WST-GJ-1687,PURVEY IDEAS INFOTECH PVT LTD,BARODA,GUJARAT,DEXIT,Customer Specific Blacklisted
9,NR2-DL-4028,ELBRUS ASSESSMENT CENTRE,NEW DELHI,DELHI,DEXIT,Customer Specific Blacklisted
10,NR2-PB-4378,LUDHIANA TRADE CENTRE,LUDHIANA,PUNJAB,NTA,Customer Specific Blacklisted
11,STH-KA-5036,REVEREND TECHNOLOGIES PVT. LTD.,BENGALURU,KARNATAKA,NTA,Customer Specific Blacklisted
12,WST-MH-2215,RR INFO,MUMBAI/NAVI MUMBAI,MAHARASHTRA,NTA,Customer Specific Blacklisted
13,NR1-BR-3376,SITYOG INSTITUTE OF TECHNOLOGY,AURANGABAD (BIHAR),BIHAR,NTA,Customer Specific Blacklisted
14,WST-MH-2642,THAKUR VIDHYA MANDIR HIGH SCHOOL AND JUNIOR COLLEGE,MUMBAI/NAVI MUMBAI,MAHARASHTRA,IIBF,Customer Specific Blacklisted
15,STH-TN-5139,PRAGYA TECHNOLOGIES,CHENNAI,TAMIL NADU,IIBF,Customer Specific Blacklisted
16,STH-KA-5035,ICRIS PAREEKSHA,BENGALURU,KARNATAKA,DEXIT,Customer Specific Blacklisted
17,NR2-DL-4494,BHARTI VIDYA NIKETAN PUBLIC SCHOOL,NEW DELHI,DELHI,CROWN,Customer Specific Blacklisted
18,NR2-DL-4615,JAGDAMBE ONLINE SOLUTION 022,WEST,DELHI,CROWN,Customer Specific Blacklisted
19,NR2-RJ-4494,MAHATMA GANDHI COLLAGE OF PHARMACEUTICAL SCIENCES,JAIPUR,RAJASTHAN,CROWN,Customer Specific Blacklisted
20,EST-WB-1141,SANTINIKETAN POLYTEHCNIC,DURGAPUR,WEST BENGAL,NTA,Customer Specific Blacklisted
21,NR1-BR-3428,KRISHNA DIGIETAL,DARBHANGA,BIHAR,NTA,Customer Specific Blacklisted
22,NR1-BR-3240,FIRST INSTITUTE,PURNEA,BIHAR,DEXIT,Customer Specific Blacklisted
23,NR1-UP-3146,SHUBHASTI SKILL DEVELOPMENT CENTERSHUBHASTI SKILL,KANPUR,UTTAR PRADESH,DEXIT,Customer Specific Blacklisted
24,NR1-UP-3302,MGA INSTITUTE OF POLITECHNIC,KANPUR,UTTAR PRADESH,Other Agency,Customer Specific Blacklisted
25,NR1-UP-3500,SWAMI VIVEKANAND SUBHARTI UNIVERSITY,MEERUT,UTTAR PRADESH,NTA,Customer Specific Blacklisted
26,NR1-UP-3429,MORADABAD INFOTECH MORADABAD,MORADABAD,UTTAR PRADESH,NTA,Customer Specific Blacklisted
27,NR2-PB-4077,GUR SAGAR INTERNATIONAL PUBLIC SCHOOL ONLINE EXAMINATION CENTER,CHANDIGARH,CHANDIGARH,IIBF,Customer Specific Blacklisted
28,NR2-HR-4468,SRS INFOSYSTEMS,FARIDABAD,HARYANA,DEXIT,Customer Specific Blacklisted
29,NR2-HP-4128,HIMACHAL INSTITUTE OF ENGINEERING & TECHNOLOGY,KANGRA,HIMACHAL PRADESH,Other Agency,Customer Specific Blacklisted
30,NR2-HP-4440,MODERN EDUCATION COLLEGE ONLINE EXAMINATION CENTRE,SHIMLA,HIMACHAL PRADESH,NTA,Customer Specific Blacklisted
31,NR2-HP-4134,MODERN EDUCATION COLLEGE ONLINE EXAMINATION,SHIMLA,HIMACHAL PRADESH,NTA,Customer Specific Blacklisted
32,NR2-HP-4624,MODERN EDUCATION COLLEGE,SHIMLA,HIMACHAL PRADESH,NTA,Customer Specific Blacklisted
33,NR2-HP-4142,ZETKING INSTITUTE OF COMPUTER AND MANAGEMENT,UNA,HIMACHAL PRADESH,NTA,Customer Specific Blacklisted
34,NR2-PB-4612,UNIVERSAL GROUP OF INSTITUTIONS,S.A.S Nagar,PUNJAB,NTA,Customer Specific Blacklisted
35,EST-AR-1161,AP COMPUTER POINT,ITANAGAR,ARUNACHAL PRADESH,NTA,Customer Specific Blacklisted
36,WST-MH-2818,SAHAKAR VIDYA MANDIR AND JR.COLLEGE,BULDHANA,MAHARASHTRA,-,Customer Specific Blacklisted
37,EST-JH-1521,OASIS SCHOOL,HAZARIBAGH,JHARKHAND,NTA,Customer Specific Blacklisted
38,EST-WB-1130,MALLABHUM INSTUTE OF TECHNOLOGY,BANKURA,WEST BENGAL,DEXIT,Customer Specific Blacklisted
39,EST-WB-1370,CONSOLE MANAGEMENT CONSULTANTS PVT. LTD.,KOLKATA,WEST BENGAL,DEXIT,Customer Specific Blacklisted
40,NR2-CH-4067,KHALSA INFOTECH SERVICE,CHANDIGARH,CHANDIGARH,NTA,Customer Specific Blacklisted
41,WST-GJ-2052,AMATYAS GLOBAL IT SOLUTIONS,JAMNAGAR,GUJARAT,GARNET,Customer Specific Blacklisted
42,NR1-BR-3214,PREETI INFOTECH,BETTIAH,BIHAR,-,Customer Specific Blacklisted
43,NR1-BR-3216,MAA AMBAY COMPUTERS CENTRE,BIHARSHARIF,BIHAR,-,Customer Specific Blacklisted
44,NR1-BR-3218,INVENTORE ONLINE EXAMINATION CENTRE,CHAPRA,BIHAR,-,Customer Specific Blacklisted
45,NR1-BR-3219,ROSHNI INSTITUTE OF MANAGEMENT AND TECHNOLOGY,CHAPRA,BIHAR,-,Customer Specific Blacklisted
46,NR1-BR-3234,ARUSH ANAND INFOTECH,MOTIHARI,BIHAR,-,Customer Specific Blacklisted
47,NR1-BR-3043,SUCCESS POINT,PATNA,BIHAR,-,Customer Specific Blacklisted
48,NR1-BR-3055,SIMPLE INFOTECH PVT LTD,PATNA,BIHAR,-,Customer Specific Blacklisted
49,NR1-BR-3242,GOPAL NARAYAN SINGH UNIVERSITY,ROHTAS,BIHAR,-,Customer Specific Blacklisted
50,NR1-UP-3070,RBS INSTITUTE,AGRA,UTTAR PRADESH,-,Customer Specific Blacklisted
51,NR1-UP-3293,ROHILKHAND COMPUTER TRANING INSTITUTE BIJNOR,BIJNOR,UTTAR PRADESH,-,Customer Specific Blacklisted
52,NR1-UP-3346,INSTITUTE OF EDUCATIONAL AND SOCIAL REFORMS,JAUNPUR,UTTAR PRADESH,-,Customer Specific Blacklisted
53,NR1-UP-3461,JAN KALYAN SEWA SAMITI,JAUNPUR,UTTAR PRADESH,-,Customer Specific Blacklisted
54,NR1-UP-3327,SACRED HEART INSTITUTE OF MANAGEMENT AND TECHNOLGY,SITAPUR,UTTAR PRADESH,-,Customer Specific Blacklisted
55,NR1-UP-3196,GYANGANGA INSTITUTE OF TECHNOLOGY,VARANASI,UTTAR PRADESH,-,Customer Specific Blacklisted
56,NR1-UP-3200,AGM INFOTECH,VARANASI,UTTAR PRADESH,-,Customer Specific Blacklisted
57,NR1-UP-3201,COMPUTER INSTITUTE OF TECHNOLOGY,VARANASI,UTTAR PRADESH,-,Customer Specific Blacklisted
58,NR2-CH-4065,DIGITAL GLOBAL INTERNET TECHNOLOGY PVT LTD,CHANDIGARH,CHANDIGARH,-,Customer Specific Blacklisted
59,NR2-CH-4070,VINAYAK WEB SOLUTION,CHANDIGARH,CHANDIGARH,-,Customer Specific Blacklisted
60,NR2-DL-4012,SBN 30 ONLINE TEST CENTER,NEW DELHI,DELHI,-,Customer Specific Blacklisted
61,NR2-DL-4039,MAFINGA ASSESSMENT CENTRE,NEW DELHI,DELHI,-,Customer Specific Blacklisted
62,NR2-DL-4063,AZTECH ONLINE TEST CENTRE,NEW DELHI,DELHI,-,Customer Specific Blacklisted
63,NR2-DL-4491,INDER SINGH PUBLIC SCHOOL,NEW DELHI,DELHI,-,Customer Specific Blacklisted
64,NR2-DL-4502,S D PUBLIC SCHOOL,NEW DELHI,DELHI,-,Customer Specific Blacklisted
65,NR2-DL-4588,TITIKSHA PUBLIC SCHOOL,NORTH WEST,DELHI,-,Customer Specific Blacklisted
66,NR2-HR-4592,DM ONLINE EXAMINATION CENTER,ROHTAK,HARYANA,-,Customer Specific Blacklisted
67,NR2-HR-4124,WEBINFOTRON TECHNOLOGIES PVT. LTD.,SONIPAT,HARYANA,-,Customer Specific Blacklisted
68,NR2-HP-4439,DIGITAL VISION ONLINE PVT LTD,SHIMLA,HIMACHAL PRADESH,-,Customer Specific Blacklisted
69,NR2-HP-4137,DEV BHOOMI DIGITAL SOURCES,SOLAN,HIMACHAL PRADESH,-,Customer Specific Blacklisted
70,NR2-HP-4138,GREEN HILLS ENGINEERING COLLEGE,SOLAN,HIMACHAL PRADESH,-,Customer Specific Blacklisted
71,NR2-JK-4478,INFINITE NETWORK SOLUTIONS,JAMMU,JAMMU AND KASHMIR,-,Customer Specific Blacklisted
72,NR2-PB-4499,MAHANT GURBANTA DASS MEMORIAL SCHOOL OF NURSING,BATHINDA,PUNJAB,-,Customer Specific Blacklisted
73,NR2-PB-4508,SWAMI DAYANAND COLLEGE OF EDUCATION,BHATINDA,PUNJAB,-,Customer Specific Blacklisted
74,NR2-PB-4075,BALAJI COMPUTERS,CHANDIGARH,PUNJAB,-,Customer Specific Blacklisted
75,NR2-PB-4078,SPR EXAM SOLUTION PVT LTD,CHANDIGARH,PUNJAB,-,Customer Specific Blacklisted
76,NR2-PB-4498,PUNJAB GROUP OF COLLEGES,SAHIBZADA AJIT SINGH NAGAR (MOHALI),PUNJAB,-,Customer Specific Blacklisted
77,WST-GJ-2576,VISION INFOTECH,JUNAGADH,GUJARAT,GARNET,Customer Specific Blacklisted
